src;trg;all;retained;patternMatching;prepareIneq;solving;remove
8484;5594;2007;1919;9446;612;124;46
8484;5594;2007;1919;7972;279;122;63
8484;5594;2007;1919;9475;132;121;45
8484;5594;2007;1919;7158;174;122;51
8484;5594;2007;1919;9159;78;141;16
8484;5594;2007;1919;7308;94;125;16
8484;5594;2007;1919;7522;125;187;16
8484;5594;2007;1919;5864;63;112;9
8484;5594;2007;1919;5628;68;111;11
8484;5594;2007;1919;5364;58;107;13
8484;5594;2007;1919;5069;61;105;8
8484;5594;2007;1919;5048;60;107;11
8484;5594;2007;1919;5174;55;95;10
8484;5594;2007;1919;5716;57;106;9
8484;5594;2007;1919;5265;50;95;12
8484;5594;2007;1919;4635;52;100;15
8484;5594;2007;1919;5033;60;96;8
