src;trg;all;retained;patternMatching;prepareIneq;solving;remove
53391;31912;11670;10700;167425;2695;561;512
53391;31912;11670;10700;160748;2744;556;433
53391;31912;11670;10700;160946;2835;546;533
53391;31912;11670;10700;174117;2882;520;578
53391;31912;11670;10700;181322;375;687;49
53391;31912;11670;10700;178609;312;672;47
53391;31912;11670;10700;142457;231;418;36
53391;31912;11670;10700;151881;262;417;34
53391;31912;11670;10700;146338;367;429;33
53391;31912;11670;10700;155553;234;413;35
53391;31912;11670;10700;146316;233;429;37
53391;31912;11670;10700;133813;234;433;36
53391;31912;11670;10700;144318;238;404;33
53391;31912;11670;10700;132066;243;423;32
53391;31912;11670;10700;139271;254;428;32
53391;31912;11670;10700;134452;367;425;36
