src;trg;all;retained;patternMatching;prepareIneq;solving;remove
33778;21778;8819;7271;80795;1618;449;543
33778;21778;8819;7271;79082;1601;429;552
33778;21778;8819;7271;79770;1651;433;550
33778;21778;8819;7271;85812;1815;459;455
33778;21778;8819;7271;87652;297;500;31
33778;21778;8819;7271;84773;219;500;47
33778;21778;8819;7271;85531;235;500;47
33778;21778;8819;7271;64438;158;364;26
33778;21778;8819;7271;61545;159;358;33
33778;21778;8819;7271;63035;168;368;34
33778;21778;8819;7271;63050;157;367;32
33778;21778;8819;7271;63141;166;350;33
33778;21778;8819;7271;65181;165;391;35
33778;21778;8819;7271;59729;147;350;34
33778;21778;8819;7271;63315;156;355;30
33778;21778;8819;7271;62633;151;360;32
33778;21778;8819;7271;62685;172;367;37
